recognize," vt. 认出,认可,承认,意识到,表示感激"
overnight," n. 前晚
adj. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
habitual," adj. 惯常的, 习惯的"
gather," vt.收集； 聚集，搜集； 收紧，收缩； 采集
vi.逐渐增加，积聚
n.聚集； 衣褶"
sustain," vt. 承受, 支持, 经受, 维持"
blessing," n. 祝福,祷告"
goodness," n. 善良, 美德，精华
int. 天哪"
fierce," adj. 猛烈的, 凶猛的, 残暴的, 强烈的"
imagine," vt. 想像,幻想,猜测
vi. 想像起来,认为"
annual," adj. 每年的,年度的,一年生的
n. 年刊,年鉴,一年生植物"
palace," n. 宫殿
adj. 宫殿的,殿堂级的"
thorn," n. 刺, 荆棘"
apology, n. 道歉；勉强的替代物
blush," n. 脸红,外观
vi. 泛红,羞愧"
patriotic, adj. 爱国的
pork," n. 猪肉
联邦或州政府用以笼络人心的工程或款项"
speech," n. 演讲,对话,话语,语言"
derive," v. 得自, 起源, 引申于"
deficiency," n. 缺乏,不足,缺点"
drastic," adj. 激烈的,猛烈的,极其严重的"
punctual," adj. 严守时刻的,准时的,正点的"
contract," n. 合约, 婚约; 合同书
v.签合同； 缩小； 感染"
startle," n. 惊愕, 惊恐
v. 吃惊, 使...惊愕"
doubtful," adj. 可疑的, 疑心的, 不确定的"
downward," adj. 向下的
adv. 向下"
flexible," adj. 灵活的,易弯曲的,柔韧的,可变通的"
reluctant," adj. 不情愿的,勉强的"
conservation," n. 保存, 防止流失, 守恒, 保护自然资源"
concrete," n. 水泥,混凝土
adj. 具体的,实在的,水泥的
vt. &vi. 凝结,结合"
nickel," n. 镍, 镍币, 五分镍币
vt. 镀镍于"
mutton, n. 羊肉
aboard," adv. 在船上,在火车上,在飞机上
prep. 上船，上飞机，上车"
propulsion," n. 推进, 推进力"
tide," n. 潮,趋势,潮流
vt. 使...随潮漂流
vi. 涌动"
signify," v. 象徵, 预示"
assumption," n. 假定,设想,担任(职责等),假装"
battle," n. 战斗,争论
vt. &vi. 与...作战;与...斗争"
medium," n. 媒体, 方法, 媒介
adj. 适中的, 中等的"
retail," n. 零售
vt. 零售
adj. 零售的
adv. 以零售形式"
reverse," n. 相反; 背面; 失败, 挫折
adj. 反面的, 相反的, 颠倒的
v. 颠倒, 逆转, 倒退"
proportional," adj. 成比例的,相称的
n. [数]比例项"
hoe," n. 锄头
v. 锄地，铲除"
especially," adv. 特别,尤其"
at," prep. 在，向，达
n. 基普(老挝货币基本单位)(=att)
abbr. 密封的(=airtight)
abbr. 气温（=air temperature）
n. [化]砹(极不稳定放射性元素)"
ally," n. 盟友,同盟国
vt. &vi. 联盟,联合，同盟"
explorer, n. 探测者
skate," n. 冰鞋
v. 滑冰
vi. 溜冰, 滑冰"
stretch," n. 伸展,张开
adj. 可伸缩的
vt. &vi. 伸展,张开,延伸"
agitate," vt.搅动，摇动； 使不安； 激烈讨论
vi.鼓动，煽动"
verse," n. 诗,韵文,诗节
vi. 作诗
vt. 诗化,在诗中表现,对...熟悉"
session, n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
paragraph," n. 段落
vt. 将...分段,写短评
vi. 写短评"
knot," n. 结,难题,一小群
vi. 打结
vt. 把...打成结,系牢,捆扎"
magic," adj. 有魔力的, 神奇的
n. 魔法, 魔术
vt. 使用魔(变出等)"
ounce, n. 盎司
length," n. 长度,篇幅"
viewpoint," n. 观点, 看法"
sensitive," adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的 
n. 敏感的人"
dip," n. 游;下降,减少,低洼处,调味酱,药浴液
vt. 蘸,浸;给...洗药浴
vi. 浸,下降,向下倾斜,翻阅,提取(款项)"
immune," adj. 免除的,免疫的
n. 免疫者"
mineral," adj. 矿物的
n. 矿物, 矿石"
shampoo," n. 洗发剂，洗涤剂，洗头
vt. 洗（头发，地毯等）"
market," n. 市场,交易,推销地区
vt. 在市场上交易,使...上市
vi. 在市场上买卖"
oar," n. 桨, 橹，划手
v. 划行"
deprive," vt. 剥夺,拒绝,免职"
universally, adv. 普遍地
gardener," n. 园丁, 花匠, 园艺家"
patch," n. 片,补丁,碎片
vt. 补缀,掩饰,平息"
practical," adj. 实际的,实用的,明智的
n. 实践考试"
education," n. 教育,培养"
confirmation," n. 确认, 证实, 基督教的坚信礼"
confidence, n.信心； 信任； 秘密
institution," n. 机构,惯例,创立"
slim," adj. 苗条的, 细长的, 微小的
vt. 使...变苗条
vi. 减轻体重, 变苗条"
three," num. 三
pron.&amp;adj. 三(个,只...)"
originally," adv. 本来,原来,最初
重要的"
nylon," n. 尼龙
（复数）nylons：女长袜"
railroad," n. 铁路
=railway（英）
vt. 由铁道运输，使（议案等）草草通过
vi. 在铁路公司工作"
shoot," n. 射击,芽,发射
vt. 射击,发出,发芽
vi. 飞驰"
attraction," n. 吸引, 吸引力, 有吸引力的人或事物"
expect," vt.期望； 预料； 要求； 认为（某事）会发生
vi.预期； 期待； 怀胎； 怀孕"
pupil," n. 瞳孔,学生,小学生"
nowadays," adv. 现今,现在
n. 现今,当今"
outset," n. 开始, 开端"
Antarctica, n. 南极洲
limit," n.限制； 限量，限度； 界限
vt.限制，限定"
qualify," vt. 取得资格,有资格,限定,描述
vi. 取得资格, 有资格"
secure," adj.安全的； 牢固的； 有把握的； 安心的
vt.保护； （使）获得； 使安全； 担保
vi.获得安全，变得安全； 安全，保险； 承保，担保； [航海学]停止工作"
war," n. 战争
vi. 作战"
communist," adj. 共产主义的
n. 共产主义者"
buzz," n. 嗡嗡声
vi. 发出嗡嗡声,充满,匆忙
vt. 飞进,使嗡嗡叫"
diameter, n. 直径
constant," adj. 经常的, 不变的
n. 常数, 恒量"
release," n. 释放, 让渡, 发行
vt. 释放, 让与, 准予发表, 发射"
industrious," adj. 勤劳的, 勤奋的"
climax," n.顶点，极点； 高潮； 层进法； [生物学]顶极群落
vt.& vi.达到顶点； 达到巅峰； 使达到高潮； 使达到性高潮"
precaution," n. 预防,留心,警戒"
incredible," adj. 难以置信的, 惊人的"
select," adj. 精选的
n. 被挑选出来的人或物
v. 选择
vi. 选择,挑选,选拔
vt. 选择,挑选"
riddle," n. 谜,谜语
vt. 解谜,出谜题,充满,打洞,筛选
vi. 出谜题"
passive," adj. 被动的,消极的
n. 被动性"
common," adj. 共同的, 平常的, 普通的
n. 平民, 普通, 公地, 公园"
worker, n. 工人，工作者
alteration," n. 改变, 变更"
breadth, n. 宽度
injure," v. 伤害, 使...受冤屈"
rebellion," n. 谋反, 叛乱, 反抗"
flute," n. 长笛
vi. 吹长笛,发出笛声
vt. 制或刻垂直长凹槽于某物以作装饰"
junior," adj.较年幼的，较年小的； 三年级的，低年级的； 资历较浅的； 后进的
n.年少者，青少年； 晚辈； 三年级生； 职位较低者"
candy," n. 糖果
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
hind," n. 雌鹿，石斑鱼
adj. 后部的, 在后的"
mule," n. 骡子,固执的人，走私毒品者"
act," n. 行为,行动,法案,（戏剧、歌剧等的）一幕
vt. 表演,扮演
vi. 表演,行动,表现,充当,奏效"
inspiration," n. 灵感,吸入,鼓舞人心(的东西)"
diffuse," vt. 散播,使(气体或液体)慢慢混合
vi. 弥漫,扩散
adj. 冗长的,四散的,散漫的"
cylinder," n. 汽缸, 圆筒, 圆柱体"
encourage," v. 鼓励,激励,支持
vt. 鼓励"
point," n. 点, 要点, 尖端，细节，目标
vt. &vi. 指出, 瞄准"
rat," n. 鼠,卑鄙的人,变节者
vi. 背叛,捕鼠
vt. 弄蓬松,告发"
survive," vt. 比…活得长,幸免于难,艰难度过
vi. 活着, 继续存在"
unsatisfactory, adj. 不能令人满意的
deem," v. 认为, 相信"
forest," n. 森林,园林,林火
vt. 用树林覆盖, 植树"
hammer," n. 锤,榔头
vi. 锤击,反复敲打
vt. 锤打,严厉批评"
geometry," n. 几何,几何学"
intervene," vi. 插入,介入,干涉,调停
[计算机] 介入"
simply," adv.&amp;adj. 简单地,仅仅"
robber," n. 盗贼, 强盗"
plausible," adj. 似真实的,似合理的,说得蛮像回事的"
vicious," adj. 恶毒的, 恶意的, 凶残的, 剧烈的, 严重的"
auxiliary," n. 帮助者, 辅助物, 助动词
adj. 附加的, 辅助的"
scissors, n. 剪刀
separate," n. 分开, 抽印本
adj. 分开的, 各自的, 单独的
v. 分开, 隔开, 分居"
soldier," n. 士兵, 军人"
necklace, n. 项链
chest," n. 胸, 大箱子, 金库, 资金, 一箱, 密封室, 衣橱"
bough, n. 大树枝
appendix," n. 附录,阑尾"
contest," n. 竞赛,比赛
vt. 竞赛,争取
vi. 奋斗"
loose," n. 解放, 放任, 放纵
adj. 宽松的, 不牢固的, 不精确的
v. 释放, 放枪, 开船"
reply," vt. &vi. &n. 回答,答复"
leaf," n. 树叶,页,活动桌板,花瓣
vt. 翻页
vi. 长叶子,翻页浏览"
devise," vt. 设计,遗赠
n. 遗赠(的财产)"
insect, n. 昆虫
thumb," n.拇指； （手套的）拇指部份
vi.翘起拇指请求搭乘（过路汽车），示意请求搭便车； 翻阅
vt.翻阅； 作搭车手势； 用拇指翻脏[翻坏]（书页等）"
perplex," v. 使...困惑, 使...更复杂, 使...为难"
advertise," vi. 登广告
vt. 为...做广告, 宣传"
telegram," n. 电报
vt 用电报发送(打电报)"
commonwealth," n. 共和国,联邦"
real," adj. 实际的,现实的,真的,真实的
adv. 非常
n. 真实的事, 真实"
parliament," n. 议会, 国会"
pretend," vt. &vi. 假装,伪称
adj. 假装的,赝品的,模拟的"
lip, n. 嘴唇
conqueror," n. 征服者, 胜利者"
confront," vt. 面临, 对抗, 遭遇"
similarity," n. 相似, 类似"
laboratory," n. 实验室, 实验大楼"
consciousness," n. 意识,知觉,自觉,觉悟"
predict," v. 预知, 预言, 预报"
care," n. 小心,照料,忧虑，慎思，焦虑因素
vi. 关心,照顾,喜爱
vt. 介意,希望
abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社"
taxi," n. 计程车，出租汽车
v. 用出租车运送，乘计程车，（飞机）滑行"
platform," n. 平台,月台,讲台,坛,计划"
conviction," n. 定罪, 信服, 坚信"
him, pron. 他(宾格)
leak," n. 漏洞
v. 漏,泄漏
vi. 漏,渗"
aggressive, adj. 侵略性的；好斗的；有进取心的；有闯劲的
launch," n.&amp;v. 下水,发射,开始,升天,汽艇"
implication," n. 暗示,含意"
beat," n. 打,敲打声,拍子,独家报道,一会儿
vt. &vi. 打,打败"
ordinary, adj. 普通的
positive," adj. 肯定的, 积极的, 绝对的
adj. 正面的, 正数的, 阳性的"
increase," v. 增加, 提高
n. 增加, 增强, 提高"
considerably," adv. 非常地, 很, 颇"
grieve, v. 使...悲伤
glimpse," n. 一瞥,一闪
vt. &vi. 一瞥, 闪烁"
further," adj. 更远的
adv. 此外, 进一步地
v. 促进, 推动
vt. 促进"
splash," n. 飞溅的水, 污点, 卖弄
v. 溅湿, 溅开"
harden," v. 变硬,使...坚强,涨价"
logic," n. 逻辑(学),逻辑性,合理的推理"
timely," adj. 及时的,适时的
adv. 及时的"
converse," n. 相反的事物,倒,逆向
adj. 相反的,逆向的,倒 的
v. 交谈,谈话
[计算机] 转换"
apprehension," n. 理解, 忧惧, 逮捕"
up," adv. 向上,增加,用尽,完全,储存,靠近
adj. 向上的,直立的,完成的,高兴的,在进行的
prep. 向上,迎着
n. 上司,上坡,繁荣,上面
vt. 升起,增加
vi. 上升"
untie, v. 解开
frigid," adj. 寒冷的, 死板的，(指女性)性冷淡的"
growth," n. 生长, 增长, 生长物"
shelter," n. 庇护所,避难所,庇护
vt. &vi. 庇护,保护,隐匿"
cheat," n. 骗子,欺骗行为
vt. &vi. 欺骗,作弊"
kilometer, n. =kilometre 公里，千米(略作km)
additional," adj. 附加的, 另外的"
humor," n. 幽默,诙谐,心情
v. 迎合,牵就,顺应"
everywhere," adv. 到处, 无论何处"
greet," vt. 问候,致敬,欢迎,映入眼帘"
senate," n. 参议院,上议院"
refuge," n. 避难(处), 庇护(所)
v. 庇护, 避难(所)"
froth," n. 泡, 泡沫, 琐物
v. （使）生泡沫, 发泡, 吹泡"
Canadian," adj. 加拿大的，加拿大人的
n. 加拿大人"
horse," n. 马
vt. 骑马
adj. 马的"
feature," n. 特征, 容貌
vt. 以...为特色
vi. 起重要作用"
piston, n. 活塞
assistant," adj. 助理的；辅助的。
n. 助手助理；助教，店员"
lighter," n.打火机；点火器；点火者；驳船
adj.较轻的（ light的比较级）；较淡的
vt.用驳船运"
steal," vt.偷； 悄悄地做，悄悄地走； 潜行； 不正当的获得
vi.偷； 偷偷地行动：秘密、不显明地行动、发生或消失； [棒球]偷垒
n.偷窃； 便宜货； 便宜货"
trait," n. 特征,特点,特性,品质"
uproar," n. 喧嚣,骚动"
parachute," n. 降落伞,翼膜,缓降物
vi. &vt. 跳伞"
southward," n. 南方
adj. 在南方的, 往南方的
adv. 往南"
volleyball, n. 排球
ingenious," adj. 机灵的,精制的,有独创性的"
aid," n. 帮助,救护,辅助物
vt. &vi. 援助,帮助,救护
abbr.=Agency for International Development 国际开发署[美]"
dioxide, n. 二氧化物
gratitude, n. 感谢的心情
civil," adj. 国内的,公民的,文明的, 有礼貌的, 民用的"
hang," vt.悬挂； （被）绞死； 贴，装饰； 使悬而未决
vi.悬垂； 被吊死； 附属，依靠； 悬而未决
n.悬挂的样子； （动作的）暂停； 〈口〉大意，要点； 〈口〉做法，诀窍"
relax," vi. 放松,松懈,松弛
vt.  放松,放宽(限制等)"
crust," n. 外壳,坚硬的外壳,面包皮
vt. 盖以硬皮
vi. 结硬皮"
toil," n.辛苦, 苦工, 网, 罗网, 圈套
v.苦干, 跋涉, 费力地做"
document," n. 文件,公文
vt. 记载,用文件等证明
[计算机] 文档"
generally, adv. 一般地
designate," adj. 指定的
vt. 指定,选派,标明"
petty," adj. 琐碎的,小规模的,小气的"
canvas, n. 帆布，（帆布）画布，油画
vegetation," n. 植物,草木,(植物)生长"
many," n. 许多人,许多
adj. 许多的
pron. 许多人或物"
exception," n. 除外,例外"
sour," adj. 酸的,腐坏的,抑沉的,刻薄的
vt. &vi. 变酸,变乖戾,腐坏"
uphold," v. 支撑, 赞成, 鼓励"
tan," n. 鞣制革,黄褐色
adj. 黄褐色的,鞣皮的
vt. 晒黑,鞣(革),鞭打
vi. 晒成棕褐色"
guard," n. 守卫者,警戒, 护卫队, 保护
vt. &vi. 保卫,看守,警惕"
inherent," adj. 内在的, 固有的"
breakdown," n. 崩溃,故障,分类,腐烂,失败,一种街舞"
cannon," n. 大炮
vi. 开炮"
incorrect," adj. 不正确的, 错误的"
actress, n. 女演员
sincerity," n. 诚实, 真实, 诚心诚意"
widow," n. 寡妇,遗孀
vt. 使丧偶"
satire," n. 讽刺文, 讽刺"
landing," n. 着陆，登陆, 楼梯平台
动词land的现在分词"
worship," n. 崇拜, 爱慕, 做礼拜
vi. 做礼拜
vt. 崇拜, 爱慕"
surface," n. 表面,平面, 外表
adj. 表面的,肤浅的
vt. 在某物上加表层, 使...成平面
vi. 浮到水面, 披露出来, 在表面工作"
salient," adj. 突出的,显著的
n. 突出部分"
weaver," n. 织布者, 织工"
conditional," adj. 有条件的, 假定的，假设的
n. [语]条件句"
enormous," adj. 巨大的, 庞大的"
accident," n. 事故,意外的事"
revive," vt. 使重生,恢复精神,重新记起,唤醒
vi. 复生"
sincere," adj. 真诚的, 诚挚的"
expansion," n. 扩大,膨胀,扩充"
compare," vt.&vi. 比较,比喻,对照
n. 比较，对照"
invent," v. 发明
vt. 发明,创造"
crawl," vi. 爬行，卑躬屈膝，自由式游泳
n. 爬行, 匍匐而行，[体育]自由式游泳"
shear," n. 修剪,剪下的东西,羊的一岁
vt. 剪掉, 割, 剥夺
vi. 修剪, 切割, 剥夺, 穿越"
transformer, n. 变压器
suppose," vt.假定； 猜想，推测； 认为； 让（用于祈祷语气）
vi.想象，猜想"
assemble," vt. 聚集,集合,装配
vi. 集合, 聚集"
African," adj. 非洲的, 非洲人的
n. 非洲人"
summarize," vt. &vi. 概述,摘要而言"
moss," n. 苔藓, (苏格兰)泥沼
vt. 使…长满苔藓"
peach," n. 桃子, 桃红色"
frightful, adj. 可怕的，吓人的
echo," n. 回声,回音,回波,反响,共鸣
vt. 发回声,回响, 重复, 仿效
vi. 回响, 回荡
n.[计算机] DOS命令 :禁止(或允许)批处理命令行显示屏幕上"
commence, v. 开始；着手；<英>获得学位
ascend," v. 上升, 攀登"
wage," n. 薪水,报偿,代价
vt. &vi. 开始,进行（战争、运动）"
population, n. 人口
centigrade," adj. 分为百度的,摄氏的"
major," n. 主修, 成年人, 陆军少校; 巨头
adj. 主要的, 较多的, 大部份的
vi. 主修"
natural," adj.自然的； 物质的； 天生的； 不做作的
n.自然的事情； （生来的）白痴； [乐]（风琴等的）白键"
electricity, n. 电力；电流；强烈的紧张情绪
superior," n. 上级,高手,上标
adj. 上层的,上好的,出众的,高傲的"
doubtless," adj. 无疑的, 确定的
adv. 无疑地, 确定地，很可能地"
snake," n. 蛇
vt.& vi. 蜿蜒,扭曲"
lick," n. 舔,少许,打
vt. 舔,连续击打,击败
vi. 用舌头舔,拍打"
hasten," v. 催促, 赶快, 急忙"
transplant," vt. 移居, 移栽(植物), 移植(器官)
vi. 能经得住移植
n. 移植, 被移植的事物"
sword," n. 剑,刀, 致命或毁灭性器械, 剑状物,使用武力, 军事裁判权"
president," n. (国家)总统,(公司)总裁,总经理,社长(日本)"
optical," adj. 眼睛的, 视觉的, 光学的"
porter," n. 搬运工,门房,(火车卧铺车厢或豪华车厢的)乘务员,(医院,商店中的)清洁工
n. (旧时)黑啤酒
n. 波特(人名)"
rocket," n. 火箭, 烟火
v. 发射火箭, 猛涨"
